OBJECTID,X,Y,hospital_pk,collection_week,state,ccn,hospital_name,address,city,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,a_adult_hospbeds_7d_avg,a_adult_hospinpbeds_7d_avg,inpatient_beds_used_7_day_avg,a_adult_hospinpbed_occ_7d_avg,adults_hospconfsusp_7d_avg,adults_hospconf_7d_avg,pediatric_hospconfsusp_7d_avg,pediatric_hospconf_7d_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,t_staff_adult_icubeds_7d_avg,icu_beds_used_7_day_avg,staff_adult_icubed_occ_7d_avg,staff_icuadultconfsusp_7d_avg,staff_icuadultconf_7_avg,patients_hospconf_flu_7d_avg,icu_patients_conf_flu_7d_avg,hospconf_flucovid_7d_avg,total_beds_7_day_sum,a_adult_hospbeds_7d_sum,a_adult_hospinpbeds_7d_sum,inpatient_beds_used_7_day_sum,a_adult_hospinpbed_occ_7d_sum,adults_hospconfsusp_7d_sum,adults_hospconf_7d_sum,pediatric_hospconfsusp_7d_sum,pediatric_hospconf_7d_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,t_staff_adult_icubeds_7d_sum,icu_beds_used_7_day_sum,staff_adult_icubed_occ_7d_sum,staff_icuadultconfsusp_7d_sum,staff_icuadultconf_7d_sum,patients_hospconf_flu_7d_sum,icu_patients_conf_flu_7d_sum,hospconf_flucovid_7d_sum,total_beds_7_day_coverage,a_adult_hospbeds_7d_cov,a_adult_hospinpbeds_7d_cov,inpatient_beds_used_7d_cov,a_adult_hospinpbed_occ_7d_cov,adults_hospconfsusp_7d_cov,adults_hospconf_7d_cov,pediatric_hospconfsusp_7d_cov,pediatric_hospconf_7d_cov,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,t_staff_adult_icubeds_7d_cov,icu_beds_used_7_day_coverage,staff_adult_icubed_occ_7d_cov,staff_icuadultconfsusp_7d_cov,staff_icuadultconf_7_cov,patients_hospconf_flu_7d_cov,icu_patients_conf_flu_7d_cov,hospconf_flucovid_7d_cov,prevadmit_adult_conf_7d_sum,prevadmit_1819_conf_7d_sum,prevadmit_2029_conf_7d_sum,prevadmit_3039_conf_7d_sum,prevadmit_4049_conf_7d_sum,prevadmit_5059_conf_7d_sum,prevadmit_6069_conf_7d_sum,prevadmit_7079_conf_7d_sum,prevadmit_80p_conf_7d_sum,prevadmit_conf_unk_7d_sum,prevadmit_pedi_conf_7d_sum,prevday_covidED_visits_7d_sum,prevadmit_adult_susp_7d_sum,prevadmit_1819_susp_7d_sum,prevadmit_2029_susp_7d_sum,prevadmit_3039_susp_7d_sum,prevadmit_4049_susp_7d_sum,prevadmit_5059_susp_7d_sum,prevadmit_6069_susp_7d_sum,prevadmit_7079_susp_7d_sum,prevadmit_80p_susp_7d_sum,prevadmit_susp_unk_7d_sum,prevadmit_pedi_susp_7d_sum,prevday_totED_visits_7d_sum,prevadmit_flu_conf_7d_sum,zip_code,last_updated
1,-90.12834,29.9428750000001,aab2bb3ab769da90baf57242c96ec481afb5ec6a2337848975e2451909a544a5,2022/02/04 00:00:00+00,LA,,Crescent City Surgical Centre,0,0,Short Term,0,False,0,0,10,-999999,-999999,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,70,23,23,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70118,2022/02/14 20:08:00+00
4,-106.49418,31.769075,452193,2021/10/15 00:00:00+00,TX,452193,El Paso LTAC Hospital,1221 N Cotton St,El Paso,Long Term,48141,True,38.6,38.6,38.6,19.3,19.3,0,0,0,0,38.6,0,0,0,0,0,0,0,0,0,270,270,210,135,135,0,0,0,0,270,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79902,2021/10/25 17:57:00+00
5,-91.1543693,30.6512143,3b081d5ef1c552538e4af4aa593a857bb922a4f364a412e69f912f826ae12879,2022/02/04 00:00:00+00,LA,,Surgery Center of Zachary,0,0,Short Term,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70791,2022/02/14 20:08:00+00
6,-92.5098852674148,31.2956986909575,ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4,2022/02/04 00:00:00+00,LA,,Alexandria Emergency Hospital,5900 Coliseum Blvd,Alexandria,Short Term,0,False,0,0,12,-999999,-999999,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,84,21,21,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71303,2022/02/14 20:08:00+00
9,-87.6832387352752,30.4269613513849,010083,2022/02/04 00:00:00+00,AL,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,Short Term,1003,True,149,145,124,89.9,89.9,15.6,15.3,0,0,128,10,10,11.9,11.9,4.6,4.6,-999999,0,0,1043,1015,833,629,629,109,107,0,0,896,70,70,83,83,32,32,-999999,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,0,0,0,0,-999999,7,5,7,0,0,207,15,0,0,0,-999999,-999999,5,4,4,0,0,944,0,36535,2022/02/14 20:08:00+00
10,-86.4509475074948,32.4639499850869,010108,2022/02/04 00:00:00+00,AL,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,Short Term,1001,True,109,109,89,78,78,25.4,25.4,0,0,89,6,6,9,9,-999999,-999999,-999999,0,0,763,763,462,546,546,178,178,0,0,623,42,42,63,63,26,26,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,0,0,-999999,0,4,6,-999999,-999999,0,0,114,0,0,0,0,0,0,0,0,0,0,0,450,0,36067,2022/02/14 20:08:00+00
12,-87.889509436133,30.5199235305546,010100,2022/02/04 00:00:00+00,AL,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,Short Term,1003,True,212,212,186,172,172,31.1,31.1,0,0,186,17,17,18.9,18.9,5.7,5.7,0,0,0,1484,1484,1302,1204,1204,218,218,0,0,1302,119,119,132,132,40,40,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,0,-999999,-999999,-999999,-999999,5,7,7,0,0,218,0,0,0,0,0,0,0,0,0,0,0,872,0,36532,2022/02/14 20:08:00+00
13,-87.784939635445,30.9058697712169,010129,2022/02/04 00:00:00+00,AL,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,Short Term,1003,True,75,75,61,41.6,41.6,6.3,6.3,0,0,61,5,5,4.3,4.3,-999999,-999999,0,0,0,525,525,406,291,291,44,44,0,0,427,35,35,30,30,16,16,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,0,0,-999999,0,-999999,-999999,0,5,0,0,81,0,0,0,0,0,0,0,0,0,0,0,263,0,36507,2022/02/14 20:08:00+00
14,-87.1476384921975,32.9513859475081,010058,2022/02/04 00:00:00+00,AL,10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,Short Term,1007,True,34,34,30,16.1,16.1,4.9,4.9,0,0,30,0,0,0,0,0,0,0,0,0,238,238,210,113,113,34,34,0,0,210,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0,0,0,-999999,-999999,-999999,-999999,0,0,70,0,0,0,0,0,0,0,0,0,0,0,259,0,35042,2022/02/14 20:08:00+00
15,-86.4940620057723,33.9296140167534,011305,2022/02/04 00:00:00+00,AL,11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,Critical Access Hospitals,1009,True,56,56,46,29.4,29.4,6.9,6.9,0,0,46,6,6,5.3,5.3,-999999,-999999,0,0,0,392,392,273,206,206,48,48,0,0,322,42,42,37,37,11,11,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,48,0,0,-999999,0,5,14,22,5,0,0,105,0,0,0,0,0,0,0,0,0,0,0,239,0,35121,2022/02/14 20:08:00+00
16,-85.1558289700913,31.8880267356934,010069,2022/02/04 00:00:00+00,AL,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,Short Term,1005,True,49.7,49.7,42.7,32.6,32.6,-999999,-999999,0,0,42.7,5,5,4.9,4.9,0,0,0,0,0,348,348,254,228,228,16,16,0,0,299,35,35,34,34,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,271,0,36027,2022/02/14 20:08:00+00
17,-85.7170322973088,32.146253760574,010110,2022/02/04 00:00:00+00,AL,10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,Short Term,1011,False,68,68,64,16,16,-999999,-999999,0,0,64,0,0,0,0,0,0,0,0,0,476,476,503,112,112,18,18,0,0,448,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,36089,2022/02/14 20:08:00+00
18,-86.6473552801865,31.8290477673659,010150,2022/02/04 00:00:00+00,AL,10150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,GREENVILLE,Short Term,1013,False,38,34,25,16.4,16.4,5.6,5.6,0,0,29,7,7,5,5,-999999,-999999,0,0,0,266,238,144,115,115,39,39,0,0,203,49,49,35,35,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,64,0,0,0,0,0,-999999,0,63,0,0,69,0,0,0,0,0,0,0,0,0,0,0,235,0,36037,2022/02/14 20:08:00+00
19,-85.8234187433099,33.6570311955948,010078,2022/02/04 00:00:00+00,AL,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,Short Term,1015,True,233.4,233.4,217.1,214.3,214.3,36.9,36.9,0,0,217.1,19.7,19.7,19.7,19.7,4.9,4.9,0,0,0,1634,1634,1386,1500,1500,258,258,0,0,1520,138,138,138,138,34,34,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,31,0,0,0,-999999,5,5,8,12,0,0,86,0,0,0,0,0,0,0,0,0,0,0,575,0,36207,2022/02/14 20:08:00+00
